time,latitude,longitude,depth,mag,magType,place
2021-12-15T13:11:42.353Z,10.1759,126.3021,35,5,mb,"33 km ENE of Santa Monica, Philippines"
2021-06-27T07:14:10.316Z,8.9437,126.2703,49.01,5,mww,"2 km WNW of Bacolod, Philippines"
2021-06-06T02:59:24.121Z,10.223,126.3641,49.72,5,mb,"42 km ENE of Santa Monica, Philippines"
2021-05-06T06:21:22.867Z,6.7679,125.1731,21.82,5,mww,"1 km W of Magsaysay, Philippines"
2021-04-23T18:45:29.018Z,5.2189,126.4843,27.58,5,mww,"114 km E of Sarangani, Philippines"
2021-03-11T07:24:36.994Z,15.609,119.4352,10,5,mww,"49 km WSW of Bolitoc, Philippines"
2021-02-25T02:55:30.556Z,15.99,119.5896,10,5,mb,"19 km W of Ilioilio, Philippines"
2021-02-08T23:24:39.901Z,11.9604,120.7767,10,5,mww,"48 km SW of Santa Teresa, Philippines"
2021-01-29T05:12:23.257Z,13.4978,120.5059,43.3,5,mb,"9 km NE of Harrison, Philippines"
2021-01-12T13:38:13.315Z,19.0221,120.3133,10,5,mww,"Babuyan Islands region, Philippines"
2020-12-16T10:30:54.894Z,5.2167,125.2755,26.14,5,mb,"29 km SW of Sarangani, Philippines"
2020-12-22T13:37:53.748Z,10.0821,126.0988,54.97,5,mb,"9 km NE of Santa Monica, Philippines"
2020-11-04T18:27:48.797Z,10.0607,126.0084,55.88,5,mww,"5 km NW of Santa Monica, Philippines"
2020-11-15T06:35:14.716Z,11.8301,124.2432,20.88,5,mww,"21 km ESE of Limbuhan, Philippines"
2023-11-14T00:10:14.942Z,5.8937,124.3413,35,4.9,mb,"22 km SW of Mabay, Philippines"
2023-11-06T20:50:50.515Z,13.4717,120.8646,149.957,4.9,mww,"4 km E of Odala, Philippines"
2023-10-02T21:30:08.725Z,12.1905,123.6276,10,4.9,mb,"6 km NE of Tigbaw, Philippines"
2023-09-28T17:06:29.204Z,8.9872,126.473,68.191,4.9,mb,"20 km ENE of Aras-asan, Philippines"
2023-09-18T11:02:01.108Z,13.0093,121.1304,10,4.9,mb,"24 km SW of Victoria, Philippines"
2023-09-18T02:54:03.904Z,13.1968,120.3441,35,4.9,mb,"25 km W of Tayaman, Philippines"
2023-09-11T17:30:11.743Z,19.1729,121.1431,37.809,4.9,mb,"62 km N of Namuac, Philippines"
2023-09-06T07:51:57.948Z,7.0227,125.5087,13.273,4.9,mb,"4 km ESE of Bato, Philippines"
2023-09-06T06:53:38.212Z,13.0504,120.6453,13.049,4.9,mb,"8 km WSW of Santa Cruz, Philippines"
2023-08-23T17:38:38.257Z,12.8596,121.4912,10,4.9,mb,"3 km E of Bansud, Philippines"
2023-08-18T18:35:15.927Z,12.8171,124.306,93.081,4.9,mb,"16 km NNW of Biri, Philippines"
2023-08-10T06:48:51.781Z,6.5022,126.3047,71.051,4.9,mb,"20 km E of Nangan, Philippines"
2023-08-01T08:09:36.843Z,19.228,121.2356,42.758,4.9,mb,"68 km N of Namuac, Philippines"
2023-07-06T07:16:28.851Z,15.2846,119.8695,47.77,4.9,mb,"12 km WSW of Iba, Philippines"
2023-06-16T18:56:40.798Z,20.0353,121.32,10,4.9,mb,"81 km SW of Basco, Philippines"
2023-06-10T14:50:38.116Z,11.8124,125.9285,33.922,4.9,mb,"51 km E of Sulat, Philippines"
2023-05-23T17:04:01.252Z,5.7587,124.5398,71.423,4.9,mb,"26 km SSW of Tambilil, Philippines"
2023-05-21T03:11:53.561Z,9.3074,126.2594,58.519,4.9,mb,"8 km ENE of Cortes, Philippines"
2023-05-13T19:16:46.120Z,5.8776,125.3675,90.915,4.9,mb,"6 km NE of Kiupo, Philippines"
2023-05-13T07:21:35.697Z,10.1001,125.9643,70.599,4.9,mb,"12 km NW of Santa Monica, Philippines"
2023-05-04T10:06:02.015Z,10.4106,125.1304,10,4.9,mb,"13 km SSW of Silago, Philippines"
2023-05-04T01:22:00.423Z,17.5071,122.3129,10.637,4.9,mb,"48 km NNW of Dicabisagan, Philippines"
