time,latitude,longitude,depth,mag,magType,place
1999-05-18T19:52:59.940Z,5.625,123.855,33,5.9,mwc,"74 km SSW of Palimbang, Philippines"
1999-03-05T13:01:10.950Z,5.255,122.168,33,5.9,mwc,"90 km SSE of Tabiauan, Philippines"
1998-11-05T18:05:24.350Z,12.867,125.036,33,5.9,mwc,"22 km N of Cabodiongan, Philippines"
1997-05-12T13:45:26.390Z,10.184,121.657,33,5.9,mwc,"43 km SW of Magdalena, Philippines"
1996-07-20T09:14:04.170Z,13.856,120.671,110.1,5.9,mwc,"3 km WNW of Hukay, Philippines"
1997-01-19T04:33:22.300Z,19.981,121.419,33,5.9,mwc,"77 km SW of Basco, Philippines"
1996-11-20T17:58:04.620Z,16.348,120.527,33,5.9,mwc,"3 km ENE of Taloy, Philippines"
1996-11-21T07:43:38.380Z,6.659,126.463,52.7,5.9,mwc,"27 km SE of Tamisan, Philippines"
1996-11-04T17:01:34.670Z,9.822,126.248,33,5.9,mwc,"16 km ENE of Union, Philippines"
1995-07-12T18:38:49.830Z,12.324,125.058,34.1,5.9,mw,"3 km ESE of Las Navas, Philippines"
1995-05-24T20:21:24.930Z,12.263,125.701,31.5,5.9,mw,"23 km ENE of San Policarpo, Philippines"
1994-07-06T09:13:10.170Z,5.983,125.929,151,5.9,mw,"27 km E of Mangili, Philippines"
1994-10-12T06:02:49.900Z,13.765,124.538,27,5.9,mw,"16 km E of Gigmoto, Philippines"
1994-03-30T13:29:11.300Z,9.003,126.254,40.3,5.9,mwb,"2 km NNW of La Paz, Philippines"
1994-02-20T21:48:12.530Z,13.691,120.787,206.5,5.9,mw,"9 km WNW of Tingloy, Philippines"
1993-11-22T03:00:55.820Z,5.877,126.229,38,5.9,mwb,"53 km S of Pondaguitan, Philippines"
1994-07-05T10:09:22.680Z,10.432,125.322,29,5.9,mw,"11 km NE of Hinundayan, Philippines"
1994-05-13T20:12:27.870Z,7.972,123.189,33,5.9,mw,"6 km SW of Balagon, Philippines"
1993-12-28T03:29:43.670Z,12.519,125.267,39.8,5.9,mw,"5 km NNE of Mapanas, Philippines"
1993-03-29T03:50:53.130Z,13.387,120.484,58.1,5.9,mw,"Mindoro, Philippines"
1992-04-28T01:55:47.230Z,5.602,124.054,477.2,5.9,mw,"66 km SSW of Malisbeng, Philippines"
2007-12-06T21:43:47.010Z,12.263,125.386,37.4,5.9,mwc,"2 km W of Arteche, Philippines"
2006-10-09T11:08:28.090Z,20.707,119.981,10,5.9,mwc,"163 km SSW of Hengchun, Taiwan"
2006-10-21T18:23:20.980Z,13.368,121.378,18.3,5.9,mwc,"8 km ENE of Estrella, Philippines"
2005-01-21T17:54:34.930Z,5.186,125.245,175.4,5.9,mwb,"34 km SW of Sarangani, Philippines"
2003-07-11T13:53:24.900Z,9.337,122.044,33,5.9,mwb,"54 km WSW of Alim, Philippines"
2003-05-26T23:26:31.890Z,6.812,123.88,583.5,5.9,mb,"15 km W of Gadung, Philippines"
2000-10-21T22:30:32.470Z,13.679,120.729,151.8,5.9,mwc,"15 km W of Tingloy, Philippines"
2000-04-13T20:54:14.090Z,10.301,126.523,33,5.9,mwc,"61 km ENE of Santa Monica, Philippines"
